district_name,district_code,locality_name,locality_code,center_lat,center_lon,area_km2,pop_base,built_base,built_density,elev_mean,low5_pct,low10_pct,water_occ_pct,water_season_months,soil_vuln,hydro_vuln,eco_protect,cropland_pct,night_rad
Barguna,BD1004,Amtali,BD10040009,22.14650328,90.27003676,310.70615500461804,152606.1183715832,2663928.572549018,0.8573787579165995,2.981514668677799,82.73437371154603,98.1432741451925,92.54065579206052,10.747488212391657,0.4752489390641676,0.944661832465439,0.0500235577534253,59.632776351669726,0.5013467437965513
Barguna,BD1004,Bamna,BD10040019,22.27232966,90.05729578,99.8784412439056,77274.48101922293,1009082.9647058828,1.0103110862950668,3.65175060148186,72.69991565250477,93.71146369936804,93.56178247095886,10.072342487791406,0.4371915077867984,0.9170402000920356,0.0607355608239166,45.630529873225015,0.4524783504485913
Barguna,BD1004,Barguna Sadar,BD10040028,22.12684969,90.10169624,377.7721844405954,236130.56996341125,4331789.423529412,1.1466671189526354,3.347690487556555,76.10743395683687,94.98465430885496,94.51906342557528,11.053745027946,0.4583134577973404,0.9424767501784608,0.0610071241104173,45.83289781782259,0.4766605910045982
Barguna,BD1004,Betagi,BD10040047,22.34818523,90.14935951,169.03645197440892,98197.26550201718,1441707.258823529,0.8528972549907721,3.9929895213987474,70.39949499570042,90.5198317967731,90.66959840617456,9.108786589701062,0.4054042393512583,0.876495947335441,0.0655190797537823,45.89128768895804,0.4453228592637454
Barguna,BD1004,Patharghata,BD10040085,22.08967959,89.95942885,299.84272728363214,142853.74272252253,2652854.4823529413,0.8847486501960442,2.9402073203856967,79.01231027700652,96.25445193154547,94.86745112982476,10.697836513258656,0.4568245558045214,0.9434783878673187,0.0642144043303236,40.45708768189689,0.4095156568414534
Barguna,BD1004,Taltali,BD10040090,21.96759531,90.10058791,281.69044925364767,78767.61135948193,1912342.62745098,0.6788808894720512,2.9466717746137725,82.11416592845629,96.0922969535345,93.80148058456274,10.831232174106972,0.4596766164576741,0.941241054571991,0.0885185089791753,47.68095863804804,0.5127364381679831
Barishal,BD1006,Agailjhara,BD10060002,22.9676431,90.14047232,158.6325825129814,129695.0368255671,1986548.6156862744,1.2522954516760192,3.951996271386019,70.24525634032352,93.92689903824484,15.539851355750354,1.9258486981699088,0.3472961662937566,0.5091580037200599,0.0776667040936972,49.13033229866215,0.5139314260244645
Barishal,BD1006,Babuganj,BD10060003,22.82461621,90.31272617,161.86551112928194,116364.26443333636,2434843.02745098,1.5042383089911422,4.758737825365905,63.155600519504205,88.4404382931567,71.80469037497986,8.74253556758841,0.4341839024133965,0.795007314758108,0.0787983894011469,36.08068209134005,0.7194711834072576
Barishal,BD1006,Bakerganj,BD10060007,22.55478164,90.39007461,405.0332137254811,272343.85707745707,4651436.278431373,1.1484086047283943,3.9415805208769807,71.08840506958138,91.38826258273428,81.31458018430573,9.99962601348127,0.4137254081752022,0.8625086458253954,0.0662601612180533,42.46009541950015,0.5553519764673718
Barishal,BD1006,Banaripara,BD10060010,22.81118715,90.12916707,134.41312011361856,129020.45049318984,1316524.039215686,0.9794609619230896,4.552102670437621,61.71216356956185,91.01927111765778,75.59180501062289,9.13567171874853,0.3533112031498273,0.8264192328791157,0.0998982998215174,23.38687941029027,0.5232845578665211
