locality_code,locality_name,district_name,gpm_rain_7d_mm,gpm_rain_30d_mm,gpm_rain_90d_mm,chirps_rain_365d_mm,era5_tp_30d_mm,era5_runoff_30d_mm,era5_surface_runoff_30d_mm,era5_subsurface_runoff_30d_mm,era5_wind10m_mean_30d_ms,era5_wind10m_max_30d_ms,smap_sm_mean_latest30d
BD10040009,Amtali,Barguna,74.87015672089825,344.02810846064403,1275.471244430077,2833.715712626783,375.4011730542621,235.66060539492423,49.82019251675953,185.8404176091085,2.313798941337048,5.143250878282699,0.2818158430182878
BD10040019,Bamna,Barguna,83.28736935485058,339.91307943473186,1195.624989741999,2448.339930494864,313.7609923122391,189.9588758345036,43.67795819416642,146.28091821556583,2.0233392538650725,4.614659331525904,0.3980988224639612
BD10040028,Barguna Sadar,Barguna,90.77600551775305,345.57856174807586,1274.5078881089978,2573.9441927714984,360.1716825320559,227.17567622314044,61.343873902590566,165.8317875714413,2.2527104133008784,4.971632189112594,0.32467545578953405
BD10040047,Betagi,Barguna,67.3433891328989,329.2015358666581,1164.0694006051483,2522.602690258805,301.293183108075,174.409960567565,41.0224233570933,133.38753162655922,1.947321200156859,4.491194441826344,0.31263753655919757
BD10040085,Patharghata,Barguna,84.8680828015811,321.54494992270384,1264.7676316490622,2435.208381709179,366.40257004550534,256.648090632656,47.40887621493614,209.23920205248052,2.1363269894941874,4.644288273937935,0.2132134701988914
BD10040090,Taltali,Barguna,116.81860371418418,356.9679398720688,1355.9869997559645,3213.4144791780263,393.5626852956678,250.75112174998307,53.18812243205564,197.56299312360557,2.788475254132341,6.170881302960633,0.1619640750654282
BD10060002,Agailjhara,Barishal,69.3023026508052,332.60658146330974,1059.3155130796422,2308.3808191062208,248.56180732545053,83.17620662234773,20.30350007866853,62.872670474201776,1.7221419933540454,3.713722789884291,0.3656996691920346
BD10060003,Babuganj,Barishal,42.74789790839501,308.1349476322657,1034.4074926705925,2491.0670209504397,241.65671652032776,93.02052356553882,23.59510286805335,69.42533994658609,1.8422766480474142,4.0559137240281355,0.3595823261844978
BD10060007,Bakerganj,Barishal,48.2688074566824,315.61700046873585,1093.4821584175866,2734.781961495546,297.9540323651137,165.54492877439898,45.36976273228761,120.17511832611868,1.9069719166752497,4.425523455301951,0.3638214574528299
BD10060010,Banaripara,Barishal,66.17733826771025,316.9204388047675,1041.3481380201301,2425.6721941711885,267.4876714990304,96.33809207707726,22.596949052511818,73.74116633097773,1.7065660629862023,3.778469174059441,0.35185093800005474
BD10060051,Barishal Sadar (Kotwali),Barishal,51.78883355557039,318.6212536221793,1092.947607709176,2691.7531119519776,261.6370250857045,115.9793069492751,26.74272810287532,89.23651113183098,1.9433992963284006,4.350949111386312,0.3592983620752276
BD10060032,Gaurnadi,Barishal,50.78340186323303,313.0128798367345,1030.8214880975206,2412.379139950197,234.40287858101556,80.97668094629152,20.386583663761172,60.59011178095744,1.8028261691513114,3.8761421135686787,0.3655096310069579
BD10060036,Hijla,Barishal,54.55004799562844,354.4920968333555,1159.2980452953677,2705.122376085119,238.92869571234783,98.7993170215626,19.073292562857223,79.72602425801634,2.1115394116924433,4.328922785039592,0.4821096578016581
BD10060062,Mehendiganj,Barishal,53.7486704655853,334.3243259162283,1134.7950581186494,2792.8843949934876,254.92507551385228,106.34391570077749,19.88607772445625,86.45777204332374,2.090164011067489,4.502687041619414,0.37154846817041765
BD10060069,Muladi,Barishal,46.0058641666103,329.0820242099376,1088.8310948446249,2545.8096475423195,231.30542637113916,86.63982919284277,19.833910205061475,66.80585466443547,1.930044307449274,4.084771781721664,0.3346455090575749
BD10060094,Ujirpur,Barishal,64.61431868227432,327.68002901362297,1055.109888641421,2446.450710435637,255.71463432988887,89.81408015416379,23.09905557909555,66.7150035958018,1.7280026682231413,3.786075504197223,0.36241694173791955
BD10065000,Barishal City Corporation,Barishal,43.46799263681409,294.7399296750771,1050.274594961369,2498.1372793182245,262.0505643491441,112.22809894829038,23.17389404507959,89.05414045806143,1.8452030196599454,4.199584176302107,0.3433250494443687
BD10090018,Bhola Sadar,Bhola,53.26062628926294,343.0147107365271,1159.6919829658611,2912.7323412482883,306.70097583159367,141.94481457621177,29.574921453517963,112.36984303296245,2.2258596178184673,4.869401641859242,0.17796473395814588
BD10090021,Borhanuddin,Bhola,37.6973947666317,353.04918851412936,1205.191842874902,3158.4610633628836,390.3996258412204,228.31637724880179,56.78259363117822,171.53372454375898,2.7541525642252087,6.0381368516377085,0.17086032291052466
BD10090025,Charfasson,Bhola,45.61572010880884,386.6209442115032,1416.803845706211,3133.297505233057,376.665634006499,232.4960839616781,13.396605979496993,219.09945794032492,3.087784988468861,6.811781823037616,0.0815172662466826
BD10090029,Daulatkhan,Bhola,37.046941635330064,340.23505043565785,1187.0823022057893,3032.095838052115,343.5880342464842,173.61614314508645,52.274040361761536,121.34202682610716,2.3376877471053046,5.159044239074874,0.058444238079825475
BD10090054,Lalmohan,Bhola,25.766361746270928,386.4679145325027,1286.8845588672916,3232.2607201619726,422.46525535554895,242.36313458734875,52.96935170054622,189.3937804998358,3.3736034035750806,7.27464594365148,0.2005232241121011
BD10090065,Monpura,Bhola,25.698033139704116,360.24847484319764,1339.2664790644471,3189.4474240425393,457.4784658864764,281.5528295175758,13.865731879622636,267.68705802049465,3.8909650821773933,8.114026300526294,0.018865106972666936
BD10090091,Tazumuddin,Bhola,25.99555875759747,348.5105845685694,1199.0696592716254,3238.396190341299,430.4630298360136,266.4183002476599,54.21991324892231,212.19830343536302,3.3626668966148845,7.127001280026011,0.0962383908613416
BD10420040,Jhalokathi Sadar,Jhalokati,50.829336185031316,294.53048801461443,1058.7116111482314,2570.7410089333043,276.1927648954306,120.25723551061044,31.790768444643422,88.46649661818157,1.7744539472265806,4.0362033680652525,0.35457683320390876
BD10420043,Kanthalia,Jhalokati,62.58400288667547,306.0213273159351,1106.8322365047932,2435.397841679547,284.98360213318756,150.87217159940107,34.90453085343762,115.96761583203104,1.867588711666964,4.344827477360156,0.33264954179120815
BD10420073,Nalchhity,Jhalokati,42.47574774165784,293.4252083972673,1051.5212593117967,2618.1459292553595,283.81389632384435,142.76162105357582,34.67241264302637,108.08922167027468,1.8177226479872075,4.206311678433213,0.35610379655677155
BD10420084,Rajapur,Jhalokati,54.2761828630117,293.4655529190623,1062.1608087046507,2502.445672917425,291.9192526609121,144.73998540064747,39.335348283904686,105.40464504115414,1.7928928214370143,4.15080030290148,0.34272440411804017
BD10780038,Bauphal,Patuakhali,49.02567707404103,345.21864582735526,1189.015453959667,3040.9604871332963,349.15159853175186,205.73140612644394,58.81953641499687,146.91186803620218,2.2285913397911568,5.090085779544985,0.3691205928244354
BD10780052,Dashmina,Patuakhali,35.748804447320126,342.0149551862128,1283.4826768051125,3141.6043664580698,362.6997582383609,216.76428076679719,41.9105784476169,174.8537113695788,2.588492303371651,5.835513972758849,0.50171402467052
BD10780055,Dumki,Patuakhali,40.2464628302007,306.1394603262786,1100.046685101914,2821.8232040805538,315.2926123382738,194.30037364080377,59.55913155817713,134.74125344263734,1.907917529763306,4.473321231640763,0.27277597365723816
BD10780057,Galachipa,Patuakhali,40.69157455198948,331.9765264069699,1318.8546316338775,3038.0584824059283,377.7024660149795,197.45681994052714,32.12970518068985,165.32711125520882,2.5932060933549423,5.79859059137164,0.3202270076076054
BD10780066,Kalapara,Patuakhali,111.92160047635863,357.9479442011983,1384.4951711606243,3720.0041967146617,407.7418644244959,256.4266942003194,43.314698041196095,213.1119984037736,3.0228911077481047,6.729381369058197,0.21050528428133802
BD10780076,Mirzaganj,Patuakhali,56.813965653402214,319.31864905104715,1155.677793771573,2616.2309531088217,309.237299571821,183.05642542637085,44.504939817076874,138.55151902915037,1.940036571039902,4.497521350359251,0.28753975985094543
BD10780095,Patuakhali Sadar,Patuakhali,49.36129249661457,326.42015601500265,1179.5139121140287,2825.3559937498258,329.1841847506151,201.08025130347826,56.579509155074156,144.5008250388933,1.9975463406301484,4.643780718260629,0.2590389535053452
BD10780097,Rangabali,Patuakhali,63.93574799484687,349.28985563969906,1488.1787003982136,3272.7816810035642,412.05185233959855,236.81327431884583,29.103284494744404,207.70995271129485,3.1015961235970333,6.872576878177387,0.1785292456472967
BD10790014,Bhandaria,Pirojpur,68.31361966601754,296.31824220433276,1092.041659255891,2435.5312389018954,291.28583918885334,152.99892833118102,34.13894162788433,118.85995963991861,1.7956256213637887,4.158431404586587,0.32271665158626545
BD10790090,Indurkani,Pirojpur,82.16886108441594,301.42522780781115,1092.406419594856,2413.487641350941,304.3974550024825,176.8686973661292,34.14455962632968,142.72410196625367,1.6920800111181173,3.8780786767223043,0.31932857460493647
