district_id,year,week_of_year,report_week,confirmed_cases,deaths,hospitalized,source
1,2000,1,2000-01-03,0,0,0,synthetic
1,2000,2,2000-01-10,1,0,0,synthetic
1,2000,3,2000-01-17,0,0,0,synthetic
1,2000,4,2000-01-24,0,0,0,synthetic
1,2000,5,2000-01-31,0,0,0,synthetic
1,2000,6,2000-02-07,0,0,0,synthetic
1,2000,7,2000-02-14,0,0,0,synthetic
1,2000,8,2000-02-21,1,0,0,synthetic
1,2000,9,2000-02-28,0,0,0,synthetic
1,2000,10,2000-03-06,0,0,0,synthetic
1,2000,11,2000-03-13,0,0,0,synthetic
1,2000,12,2000-03-20,1,0,0,synthetic
1,2000,13,2000-03-27,1,0,0,synthetic
1,2000,14,2000-04-03,0,0,0,synthetic
1,2000,15,2000-04-10,0,0,0,synthetic
1,2000,16,2000-04-17,0,0,0,synthetic
1,2000,17,2000-04-24,0,0,0,synthetic
1,2000,18,2000-05-01,0,0,0,synthetic
1,2000,19,2000-05-08,0,0,0,synthetic
1,2000,20,2000-05-15,0,0,0,synthetic
1,2000,21,2000-05-22,0,0,0,synthetic
1,2000,22,2000-05-29,0,0,0,synthetic
1,2000,23,2000-06-05,0,0,0,synthetic
1,2000,24,2000-06-12,1,0,0,synthetic
1,2000,25,2000-06-19,0,0,0,synthetic
1,2000,26,2000-06-26,0,0,0,synthetic
1,2000,27,2000-07-03,0,0,0,synthetic
1,2000,28,2000-07-10,0,0,0,synthetic
1,2000,29,2000-07-17,2,0,0,synthetic
1,2000,30,2000-07-24,0,0,0,synthetic
1,2000,31,2000-07-31,1,0,0,synthetic
1,2000,32,2000-08-07,1,0,0,synthetic
1,2000,33,2000-08-14,1,0,0,synthetic
1,2000,34,2000-08-21,0,0,0,synthetic
1,2000,35,2000-08-28,2,0,0,synthetic
1,2000,36,2000-09-04,1,0,0,synthetic
1,2000,37,2000-09-11,0,0,0,synthetic
1,2000,38,2000-09-18,1,0,0,synthetic
1,2000,39,2000-09-25,2,0,1,synthetic
1,2000,40,2000-10-02,0,0,0,synthetic
1,2000,41,2000-10-09,0,0,0,synthetic
1,2000,42,2000-10-16,2,0,0,synthetic
1,2000,43,2000-10-23,0,0,0,synthetic
1,2000,44,2000-10-30,1,0,0,synthetic
1,2000,45,2000-11-06,0,0,0,synthetic
1,2000,46,2000-11-13,0,0,0,synthetic
1,2000,47,2000-11-20,0,0,0,synthetic
1,2000,48,2000-11-27,0,0,0,synthetic
1,2000,49,2000-12-04,0,0,0,synthetic
1,2000,50,2000-12-11,0,0,0,synthetic
1,2000,51,2000-12-18,0,0,0,synthetic
1,2000,52,2000-12-25,0,0,0,synthetic
1,2001,1,2001-01-01,0,0,0,synthetic
1,2001,2,2001-01-08,0,0,0,synthetic
1,2001,3,2001-01-15,0,0,0,synthetic
1,2001,4,2001-01-22,0,0,0,synthetic
1,2001,5,2001-01-29,0,0,0,synthetic
1,2001,6,2001-02-05,0,0,0,synthetic
1,2001,7,2001-02-12,0,0,0,synthetic
